,RegionID,SizeRank,Region Name,Region Type,State Name,Date Recorded,Median Sale Price,city,state_name,lat,lng
98353,394334,197,"Appleton, WI",msa,Wisconsin,2023-01-31,252775.0,Appleton,Wisconsin,44.278,-88.3892
98354,845160,198,"Prescott Valley, AZ",msa,Arizona,2023-01-31,444167.0,Prescott Valley,Arizona,34.598,-112.3185
98355,394813,200,"Macon, GA",msa,Georgia,2023-01-31,135833.0,Macon,Georgia,32.8065,-83.6974
98356,395174,201,"Tyler, TX",msa,Texas,2023-01-31,272896.0,Tyler,Texas,32.3184,-95.3062
98358,394519,203,"Daphne, AL",msa,Alabama,2023-01-31,355317.0,Daphne,Alabama,30.6263,-87.8816
98359,394378,205,"Bellingham, WA",msa,Washington,2023-01-31,547333.0,Bellingham,Washington,48.7548,-122.469
98360,394429,206,"Burlington, VT",msa,Vermont,2023-01-31,379167.0,Burlington,Vermont,44.4876,-73.2316
98361,395030,207,"Rochester, MN",msa,Minnesota,2023-01-31,265883.0,Rochester,Minnesota,44.0154,-92.478
98362,753895,208,"Lafayette, IN",msa,Indiana,2023-01-31,197888.0,Lafayette,Indiana,40.3991,-86.8593
98363,394454,209,"Champaign, IL",msa,Illinois,2023-01-31,150583.0,Champaign,Illinois,40.1142,-88.2737
98364,394848,210,"Medford, OR",msa,Oregon,2023-01-31,407800.0,Medford,Oregon,42.3372,-122.854
98365,845164,211,"Lebanon, NH",msa,New Hampshire,2023-01-31,313572.0,Lebanon,New Hampshire,43.6353,-72.2531
98366,394459,212,"Charlottesville, VA",msa,Virginia,2023-01-31,381633.0,Charlottesville,Virginia,38.0375,-78.4855
98367,394763,213,"Lake Charles, LA",msa,Louisiana,2023-01-31,173333.0,Lake Charles,Louisiana,30.201,-93.2111
98368,394773,214,"Las Cruces, NM",msa,New Mexico,2023-01-31,252549.0,Las Cruces,New Mexico,32.3265,-106.7893
98369,394464,215,"Chico, CA",msa,California,2023-01-31,355000.0,Chico,California,39.7578,-121.8161
98370,394681,216,"Hilton Head Island, SC",msa,South Carolina,2023-01-31,460367.0,Hilton Head Island,South Carolina,32.1896,-80.7499
98371,394346,217,"Athens, GA",msa,Georgia,2023-01-31,280833.0,Athens,Georgia,33.9508,-83.3689
98372,394765,218,"Lake Havasu City, AZ",msa,Arizona,2023-01-31,296650.0,Lake Havasu City,Arizona,34.5006,-114.3113
98373,394485,219,"Columbia, MO",msa,Missouri,2023-01-31,242333.0,Columbia,Missouri,38.9472,-92.3268
98374,395114,220,"Springfield, IL",msa,Illinois,2023-01-31,129317.0,Springfield,Illinois,39.7709,-89.654
98375,394872,222,"Monroe, LA",msa,Louisiana,2023-01-31,167000.0,Monroe,Louisiana,32.5185,-92.0774
98376,394565,223,"Elkhart, IN",msa,Indiana,2023-01-31,212633.0,Elkhart,Indiana,41.6916,-85.9627
